127.0.0.1 - - [31/Aug/2019:20:16:03 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:33 +0530] "GET /attendancelookup/WEB-INF/view/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:37 +0530] "GET /attendancelookup/showMyLoginPage HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:38 +0530] "GET /attendancelookup/resources/css/style.css HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:40 +0530] "GET /attendancelookup/resources/img/banner.jpg HTTP/1.1" 200 173957
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:50 +0530] "GET /attendancelookup/showMyLoginPage HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:50 +0530] "GET /attendancelookup/resources/css/style.css HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:51 +0530] "GET /attendancelookup/resources/img/banner.jpg HTTP/1.1" 200 173957
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:16:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:17:05 +0530] "POST /attendancelookup/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:17:05 +0530] "GET /attendancelookup/showMyLoginPage?error HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:17:05 +0530] "GET /attendancelookup/resources/css/style.css HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:17:05 +0530] "GET /attendancelookup/resources/img/banner.jpg HTTP/1.1" 200 173957
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:18:15 +0530] "POST /attendancelookup/authenticateTheUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:18:15 +0530] "GET /attendancelookup/ HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:18:15 +0530] "GET /attendancelookup/resources/css/style.css HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:18:16 +0530] "GET /attendancelookup/resources/img/banner.jpg HTTP/1.1" 200 173957
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:18:20 +0530] "GET /attendancelookup/attendancefind HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:18:20 +0530] "GET /attendancelookup/resources/css/style.css HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:18:20 +0530] "GET /attendancelookup/resources/img/banner.jpg HTTP/1.1" 200 173957
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:19:43 +0530] "POST /attendancelookup/findpdf HTTP/1.1" 200 2282
0:0:0:0:0:0:0:1 - - [31/Aug/2019:20:19:43 +0530] "GET /attendancelookup/resources/css/style.css HTTP/1.1" 200 4008
